Severity    | CVE     | URL       
------------|---------| --------- 
CRITICAL | CVE-2021-36159 | https://avd.aquasec.com/nvd/cve-2021-36159
HIGH | CVE-2021-30139 | https://avd.aquasec.com/nvd/cve-2021-30139
HIGH | CVE-2021-28831 | https://avd.aquasec.com/nvd/cve-2021-28831
HIGH | CVE-2021-42378 | https://avd.aquasec.com/nvd/cve-2021-42378
HIGH | CVE-2021-42379 | https://avd.aquasec.com/nvd/cve-2021-42379
HIGH | CVE-2021-42380 | https://avd.aquasec.com/nvd/cve-2021-42380
HIGH | CVE-2021-42381 | https://avd.aquasec.com/nvd/cve-2021-42381
HIGH | CVE-2021-42382 | https://avd.aquasec.com/nvd/cve-2021-42382
HIGH | CVE-2021-42383 | https://avd.aquasec.com/nvd/cve-2021-42383
HIGH | CVE-2021-42384 | https://avd.aquasec.com/nvd/cve-2021-42384
HIGH | CVE-2021-42385 | https://avd.aquasec.com/nvd/cve-2021-42385
HIGH | CVE-2021-42386 | https://avd.aquasec.com/nvd/cve-2021-42386
MEDIUM | CVE-2021-42374 | https://avd.aquasec.com/nvd/cve-2021-42374
CRITICAL | CVE-2021-3711 | https://avd.aquasec.com/nvd/cve-2021-3711
HIGH | CVE-2020-1967 | https://avd.aquasec.com/nvd/cve-2020-1967
HIGH | CVE-2021-23840 | https://avd.aquasec.com/nvd/cve-2021-23840
HIGH | CVE-2021-3450 | https://avd.aquasec.com/nvd/cve-2021-3450
HIGH | CVE-2021-3712 | https://avd.aquasec.com/nvd/cve-2021-3712
MEDIUM | CVE-2020-1971 | https://avd.aquasec.com/nvd/cve-2020-1971
MEDIUM | CVE-2021-23841 | https://avd.aquasec.com/nvd/cve-2021-23841
MEDIUM | CVE-2021-3449 | https://avd.aquasec.com/nvd/cve-2021-3449
LOW | CVE-2021-23839 | https://avd.aquasec.com/nvd/cve-2021-23839
CRITICAL | CVE-2021-3711 | https://avd.aquasec.com/nvd/cve-2021-3711
HIGH | CVE-2020-1967 | https://avd.aquasec.com/nvd/cve-2020-1967
HIGH | CVE-2021-23840 | https://avd.aquasec.com/nvd/cve-2021-23840
HIGH | CVE-2021-3450 | https://avd.aquasec.com/nvd/cve-2021-3450
HIGH | CVE-2021-3712 | https://avd.aquasec.com/nvd/cve-2021-3712
MEDIUM | CVE-2020-1971 | https://avd.aquasec.com/nvd/cve-2020-1971
MEDIUM | CVE-2021-23841 | https://avd.aquasec.com/nvd/cve-2021-23841
MEDIUM | CVE-2021-3449 | https://avd.aquasec.com/nvd/cve-2021-3449
LOW | CVE-2021-23839 | https://avd.aquasec.com/nvd/cve-2021-23839
MEDIUM | CVE-2020-28928 | https://avd.aquasec.com/nvd/cve-2020-28928
MEDIUM | CVE-2020-28928 | https://avd.aquasec.com/nvd/cve-2020-28928
HIGH | CVE-2021-28831 | https://avd.aquasec.com/nvd/cve-2021-28831
HIGH | CVE-2021-42378 | https://avd.aquasec.com/nvd/cve-2021-42378
HIGH | CVE-2021-42379 | https://avd.aquasec.com/nvd/cve-2021-42379
HIGH | CVE-2021-42380 | https://avd.aquasec.com/nvd/cve-2021-42380
HIGH | CVE-2021-42381 | https://avd.aquasec.com/nvd/cve-2021-42381
HIGH | CVE-2021-42382 | https://avd.aquasec.com/nvd/cve-2021-42382
HIGH | CVE-2021-42383 | https://avd.aquasec.com/nvd/cve-2021-42383
HIGH | CVE-2021-42384 | https://avd.aquasec.com/nvd/cve-2021-42384
HIGH | CVE-2021-42385 | https://avd.aquasec.com/nvd/cve-2021-42385
HIGH | CVE-2021-42386 | https://avd.aquasec.com/nvd/cve-2021-42386
MEDIUM | CVE-2021-42374 | https://avd.aquasec.com/nvd/cve-2021-42374
CRITICAL | CVE-2022-37434 | https://avd.aquasec.com/nvd/cve-2022-37434
